,0
0,agent
1,agent de police
2,agriculteur
3,aide
4,apprenti
5,apprenti negociant
6,apprentie
7,apprentie couturiere
8,apprentie modiste
9,apprentie tailleuse
10,architecte
11,armurier
12,arpenteur
13,aubergiste
14,avocat
15,banquier
16,batelier
17,bijoutier
18,blanchisseuse
19,bonne
20,bottier
21,boucher
22,boulanger
23,bucheron
24,cafetier
25,carrier
26,caveur
27,ceinturier
28,chapelier
29,chapellier
30,charcutier
31,charpentier
32,charrelier
33,charretier
34,charron
35,chaudronnier
36,chauffeur
37,chirurgien
38,cimenteur
39,clerc
40,cocher
41,coiffeur
42,commis
43,commissionnaire
44,compagne
45,compositeur
46,comptable
47,concierge
48,conducteur
49,confiseur
50,conseiller
51,cordonnier
52,cordonnier 
53,cordonnier/couturier?
54,corroyeur
55,courtier
56,couturiere
57,couvreur
58,cuisinier
59,cuisiniere
60,cullotier
61,cultivateur
62,demoiselle de magasin
63,directeur
64,disciplinaire
65,docteur
66,domestique
67,dque
68,droguiste
69,ebeniste
70,ecrivain
71,eleve
72,employe
73,employe a la gare
74,employe au chateau
75,employe de banque
76,employe interne
77,employe postal
78,employee
79,en pension
80,enfant
81,enfant illegitime
82,enfant naturel
83,entrepreneur
84,epicier
85,epiciere
86,etudiant
87,etudiante
88,fabricant
89,facteur
90,femme de chambre
91,femme de ménage
92,ferblantier
93,fermier
94,fileur
95,fileuse
96,fille de boutique
97,fille de magasin
98,fondeur
99,fontenier
100,fortier
101,fruitier
102,gagne denier
103,gantier
104,garcon de cafe
105,garde de jour
106,garde malade
107,garde police
108,gendarme
109,gipier
110,gipseur
111,gipsier
112,gouvernant
113,guisier
114,gypseur
115,gypsier
116,horloger
117,hotelier
118,huissier
119,id
120,imprimeur
121,incurable
122,infirme
123,infirmier
124,ingenieur
125,inspecteur
126,institut
127,instituteur
128,institutrice
129,jardinier
130,journalier
131,journaliere
132,juge
133,juge d appel
134,laboureur
135,laboureuse
136,laitier
137,lavandiere
138,lessiveuse
139,libraire
140,linger
141,lingere
142,locataire
143,loge
144,logeur
145,logeuse
146,macon
147,maitre
148,maitre boucher
149,maitre cordonnier
150,maitre de pension
151,maitre jardinier
152,maitre tailleur
153,maitresse
154,malade
155,manoeuvre
156,manouvrier
157,marbrier
158,marchand
159,marchand de vin
160,marchande
161,marechal
162,mecanicien
163,medecin
164,menagere
165,menuisier
166,mere
167,meunier
168,mineur
169,ministre
170,modiste
171,municipal
172,musicien
173,negociant
174,negociante
175,notaire
176,orfevre
177,orpheline
178,ouvrier
179,ouvrier charpentier
180,ouvrier cordonnier
181,ouvrier de ville
182,ouvrier macon
183,ouvrier menuisier
184,ouvrier serrurier
185,ouvriere
186,parent
187,pasteur
188,patissier
189,pecheur
190,peintre
191,pensionnair
192,pensionnaire
193,pensionnaires
194,pere
195,perruquier
196,pharmacien
197,pintier
198,pionnier
199,platrier
200,portier
201,potier de terre
202,professeur
203,proprietaire
204,regent
205,regente
206,relieur
207,rentier
208,rentiere
209,repasseuse
210,sa mere
211,sage femme
212,sans profession
213,sans vocation
214,scieur
215,secretaire
216,sellier
217,serrurier
218,serrurrier
219,servante
220,servante ouvrier
221,socquier
222,sommeiller
223,sommelier
224,sommeliere
225,taboureur
226,tailleur
227,tailleur d habits
228,tailleur de pierre
229,tailleur de pierres
230,tailleuse
231,taillieur
232,taillieuse
233,tanneur
234,tapissier
235,teinturier
236,telegraphiste
237,telier
238,terrassier
239,tient pension
240,tient une ecole
241,tier
242,tisserand
243,tonnelier
244,tourneur
245,traiteur
246,typographe
247,valet de chambre
248,vannier
249,vendeur de vin
250,vendeuse
251,veuve
252,vigneron
253,vigneronne
254,vitrier
255,voiturier
256,volontaire
